id,filename,title,authors,author_full
A36762,A36762.xml,Psyche Debauched,"Duffett, Thomas","Duffett, Thomas."
A20100,A20100.xml,Westward Ho,"Dekker, Thomas;Webster, John","Dekker, Thomas, ca. 1572-1632."
A36986,A36986.xml,"Love for Money, or The Boarding School","D'Urfey, Thomas","D'Urfey, Thomas, 1653-1723."
A55548,A55548.xml,A Very Good Wife,"Powell, George","Powell, George, 1658?-1714."
A36979,A36979.xml,"A Fool's Preferment, or The Three Dukes of Dunstable","D'Urfey, Thomas","D'Urfey, Thomas, 1653-1723."
A46246,A46246.xml,"The Goldsmiths' Jubilee, or London's Triumphs","Jordan, Thomas","Jordan, Thomas, 1612?-1685?"
A35280,A35280.xml,1 & 2 The Destruction of Jerusalem by Titus Vespasian,"Crowe, John","Crown, Mr. (John), 1640?-1712."
A07971,A07971.xml,Covent Garden,"Nabbes, Thomas","Nabbes, Thomas, 1605?-1645?"
A07018,A07018.xml,Edward the Second,"Marlowe, Christopher","Marlowe, Christopher, 1564-1593."
A03256,A03256.xml,A Woman Killed with Kindness,"Heywood, Thomas","Heywood, Thomas, d. 1641."
A04539,A04539.xml,The Devil's Charter,"Barnes, Barnabe","Barnes, Barnabe, 1569?-1609."
A15352,A15352.xml,The Miseries of Enforced Marriage,"Wilkins, George","Wilkins, George, fl. 1607."
A51504,A51504.xml,"The Novelty: Every Act a Play: Consists of Thyrsis (Pastoral), by Oldmixon; All without Money (Comedy), by Motteux; Hercules ('Mask'), by Motteux; The Unfortunate Couple (Tragedy; alteration of The Unnatural Brother, above), by Filmer; Natural Magic (Farc","Motteux, Peter","Motteux, Peter Anthony, 1660-1718."
A03242,A03242.xml,"Porta Pietatis, or The Port or Harbor of Piety","Heywood, Thomas","Heywood, Thomas, d. 1641."
A07024,A07024.xml,A Fine Companion,"Marmion, Shakerly","Marmion, Shackerley, 1603-1639."
A59979,A59979.xml,The Gentleman of Venice,"Shirley, James","Shirley, James, 1596-1666."
A19346,A19346.xml,1 The Cid,"Corneille, Pierre","Corneille, Pierre, 1606-1684."
A01509,A01509.xml,The Most Virtuous and Godly Susanna,"Garter, Thomas","Garter, Thomas."
A16527_03,A16527_03.xml,The Alexandraean Tragedy,"Alexander, William","Stirling, William Alexander, Earl of, 1567 or 8-1640."
A27294,A27294.xml,"The Forced Marriage, or the Jealous Bridegroom","Behn, Aphra","Behn, Aphra, 1640-1689."
A03201_01,A03201_01.xml,1 The Fair Maid of the West,"Heywood, Thomas","Heywood, Thomas, d. 1641."
A01253,A01253.xml,Imperiale,"Freeman, Sir Ralph","Freeman, Ralph, Sir, fl. 1610-1655."
A13125,A13125.xml,Aglaura,"Suckling, Sir John","Suckling, John, Sir, 1609-1642."
A27280,A27280.xml,"The City Heiress, or Sir Timothy Treatall","Behn, Aphra","Behn, Aphra, 1640-1689."
A36602,A36602.xml,Aureng-Zebe,"Dryden, John","Dryden, John, 1631-1700."
A40958,A40958.xml,"The Constant Couple, or A Trip to the Jubilee","Farquhar, George","Farquhar, George, 1677?-1707."
A35337,A35337.xml,"Sir Salomon, or The Cautious Coxcomb","Caryl, John","Caryll, John, 1625-1711."
A63171,A63171.xml,Aqua Triumphalis,"Tatham, John","Tatham, John, fl. 1632-1664."
A47372_01,A47372_01.xml,The Princess,"Killigrew, Thomas","Killigrew, Thomas, 1612-1683."
A49940,A49940.xml,"Sophonisba, or Hannibal's Overthrow","Lee, Nathaniel","Lee, Nathaniel, 1653?-1692."
A37285,A37285.xml,The Parliament of Bees,"Day, John","Day, John, 1574-1640?"
A51115,A51115.xml,The Citizen Turned Gentleman,"Ravenscroft, Edward","Ravenscroft, Edward, 1654?-1707."
A04896,A04896.xml,Rhodon and Iris,"Knevet, Ralph","Knevet, Ralph, 1600-1671."
A12010,A12010.xml,"An excellent conceited tragedie of Romeo and Iuliet. As it hath been often (with great applause) plaid publiquely, by the right Honourable t",,"Shakespeare, William, 1564-1616."
A01911,A01911.xml,Sir Giles Goosecap,"Chapman, George","Chapman, George, 1559?-1634."
A07637,A07637.xml,Hans Beer-Pot,"Belchier, Dabridgcourt","Belchier, Dabridgcourt, 1580?-1621."
A08262,A08262.xml,Nobody and Somebody,Anon.,
A01520,A01520.xml,The Glass of Government,"Gascoigne, George","Gascoigne, George, 1542?-1577."
A12548,A12548.xml,"The Hector of Germany, or The Palsgrave, Prime Elector","Smith, Wentworth (?);Smith, William (?)","Smith, Wentworth, fl. 1601-1623."
A16527_02,A16527_02.xml,Darius,"Alexander, William","Stirling, William Alexander, Earl of, 1567 or 8-1640."
A19347,A19347.xml,2 The Cid,"Desfontaines, Nicolas-Marc","Desfontaines, Nicolas-Marc, d. 1652."
A34564,A34564.xml,"The Generous Enemies, or The Ridiculous Lovers","Corye, John","Corye, John."
A07025,A07025.xml,Holland's Leaguer,"Marmion, Shackerley","Marmion, Shackerley, 1603-1639."
A30845,A30845.xml,"The Rival Kings, or The Loves of Oroondates and Statira","Banks, John","Banks, John, d. 1706."
A27322,A27322.xml,"1 The Rover, or The Banished Cavaliers","Behn, Aphra","Behn, Aphra, 1640-1689."
A05801,A05801.xml,The Valiant Welshman,"A., R.","R. A., Gent."
A00979,A00979.xml,Sicelides,"Fletcher, Phineas","Fletcher, Phineas, 1582-1650."
A07970,A07970.xml,The Bride,"Nabbes, Thomas","Nabbes, Thomas, 1605?-1645?"
A07555,A07555.xml,Comus,"Milton, John","Milton, John, 1608-1674."
A59429,A59429.xml,"The Lancashire Witches, and Tegue O'Divelly the Irish Priest","Shadwell, Thomas","Shadwell, Thomas, 1642?-1692."
A66801,A66801.xml,"1 The Wits, or Sport upon Sport: A collection of drolls fashioned from comic scenes in older plays: The Bouncing Knight, or The Robbers Robbed (From 1 Henry IV); The Bubble (from Greene's Tu Quoque); The Club-Men (from Philaster); The Doctors of Dull-Head","Kirkman, Francis","Kirkman, Francis, 1632-ca. 1680."
A12158,A12158.xml,The Young Admiral,"Shirley, James","Shirley, James, 1596-1666."
A36978,A36978.xml,The Fool Turned Critic,"D'Urfey, Thomas","D'Urfey, Thomas, 1653-1723."
A18404_01,A18404_01.xml,The Conspiracy of Charles Duke of Byron,"Chapman, George","Chapman, George, 1559?-1634."
A19757,A19757.xml,A Christian Turned Turk,"Daborne, Robert","Daborne, Robert, d. 1628."
A09222,A09222.xml,Descensus Astraeae,"Peele, George","Peele, George, 1556-1596."
A30312,A30312.xml,The Reformed Wife,"Burnaby, William","Burnaby, William, 1672 or 3-1706."
A36011,A36011.xml,The Lover's Luck,"Dilke, Thomas","Dilke, Mr. (Thomas), d. ca. 1698."
A09220,A09220.xml,The Arraignment of Paris,"Peele, George","Peele, George, 1556-1596."
A19755,A19755.xml,The Bloody Banquet,"Dekker, Thomas;Middleton, Thomas",[T.D.].
A35297,A35297.xml,"Sir Courtly Nice, or It Cannot Be","Crowne, John","Crown, Mr. (John), 1640?-1712."
A18463,A18463.xml,The Entertainment at Edinburgh,"Drummond, William (?)","Drummond, William, 1585-1649."
A27320,A27320.xml,"The Roundheads, or The Good Old Cause","Behn, Aphra","Behn, Aphra, 1640-1689."
A14715,A14715.xml,The Tide Tarrieth No Man,"Wapull, George","Wapull, George, fl. 1576."
A59615,A59615.xml,She Ventures and He Wins,Anon. ('Ariadne'),Ariadne.
A00760,A00760.xml,Fuimus Troes,"Fisher, Jasper","Fisher, Jasper, b. 1591."
A36588,A36588.xml,Albion Albanius,"Dryden, John","Dryden, John, 1631-1700."
A41700,A41700.xml,"The Rival Sisters, or The Violence of Love","Gould, Robert","Gould, Robert, d. 1709?"
A30847,A30847.xml,"The Unhappy Favourite, or The Earl of Essex","Banks, John","Banks, John, d. 1706."
A53462,A53462.xml,Henry V,"Boyle, Roger","Orrery, Roger Boyle, Earl of, 1621-1679."
A03255,A03255.xml,The Wise Woman of Hogsdon,"Heywood, Thomas","Heywood, Thomas, d. 1641."
A50792,A50792.xml,"The Counterfeit Bridegroom, or The Defeated Widow",Anon. (Behn?),"Middleton, Thomas, d. 1627."
A63358,A63358.xml,"London's Triumph, or The Goldsmiths' Jubilee","Taubman, Matthew","Taubman, Matthew, d. 1690?"
A16923,A16923.xml,The Antipodes,"Brome, Richard","Brome, Richard, d. 1652?"
A18729,A18729.xml,The Entertainment in Suffolk and Norfolk,"Churchyard, Thomas;Garter, Bernard;Goldingham, Henry","Churchyard, Thomas, 1520?-1604."
A49572,A49572.xml,Heroic Love,"Granville, George","Lansdowne, George Granville, Baron, 1667-1735."
A10407,A10407.xml,The Jealous Lovers,"Randolph, Thomas","Randolph, Thomas, 1605-1635."
A57764,A57764.xml,The Witch of Edmonton,"Dekker, Thomas;Rowley, William;Ford, John","Rowley, William, 1585?-1642?"
A03201_02,A03201_02.xml,2 The Fair Maid of the West,"Heywood, Thomas","Heywood, Thomas, d. 1641."
A20077,A20077.xml,Patient Grissel,"Dekker, Thomas;Chettle, Henry;Haughton, William","Dekker, Thomas, ca. 1572-1632."
A47372_02,A47372_02.xml,The Parson's Wedding,"Killigrew, Thomas","Killigrew, Thomas, 1612-1683."
A61942,A61942.xml,"Brennoralt, or The Discontented Colonel","Suckling, Sir John","Suckling, John, Sir, 1609-1642."
A01046,A01046.xml,The Broken Heart,"Ford, John","Ford, John, 1586-ca. 1640."
A20088,A20088.xml,Match Me in London,"Dekker, Thomas","Dekker, Thomas, ca. 1572-1632."
A04658,A04658.xml,"The New Inn, or The Light Heart","Jonson, Ben","Jonson, Ben, 1573?-1637."
A01052,A01052.xml,The Lady's Trial,"Ford, John","Ford, John, 1586-ca. 1640."
A01047,A01047.xml,Perkin Warbeck,"Ford, John","Ford, John, 1586-ca. 1640."
A04881,A04881.xml,Ram Alley,"Barry, Lording","Barry, Lording, 1580?-1629."
A35321,A35321.xml,"The English Princess, or The Death of Richard III","Caryl, John","Caryll, John, 1625-1711."
A36600,A36600.xml,"The Assignation, or Love in a Nunnery","Dryden, John","Dryden, John, 1631-1700."
A20062,A20062.xml,1 The Honest Whore,"Dekker, Thomas;Middleton, Thomas","Dekker, Thomas, ca. 1572-1632."
A20076,A20076.xml,Old Fortunatus,"Dekker, Thomas","Dekker, Thomas, ca. 1572-1632."
A53517,A53517.xml,Caius Marius,"Otway, Thomas","Otway, Thomas, 1652-1685."
A59990,A59990.xml,The Politician,"Shirley, James","Shirley, James, 1596-1666."
A16527_01,A16527_01.xml,Croesus,"Alexander, William","Stirling, William Alexander, Earl of, 1567 or 8-1640."
A49573,A49573.xml,The She Gallants,"Granville, George","Lansdowne, George Granville, Baron, 1667-1735."
A06270,A06270.xml,"A Larum for London, or The Siege of Antwerp",Anon.,"Gascoigne, George, 1542?-1577."
A39719,A39719.xml,Love's Kingdom,"Flecknoe, Richard","Flecknoe, Richard, d. 1678?"
A51499,A51499.xml,"The Island Princess, or The Generous Portuguese","Motteux, Peter","Motteux, Peter Anthony, 1660-1718."
A50787,A50787.xml,Anything for a Quiet Life,"Middleton, Thomas","Middleton, Thomas, d. 1627."
B07101,B07101.xml,The Triumph of Peace,"Shirley, James","Shirley, James, 1596-1666."
A72254,A72254.xml,The Rival Friends,"Hausted, Peter","Hausted, Peter, d. 1645."
A50793,A50793.xml,The Mayor of Quinborough,"Middleton, Thomas","Middleton, Thomas, d. 1627."
A03240,A03240.xml,A Maidenhead Well Lost,"Heywood, Thomas","Heywood, Thomas, d. 1641."
A53477,A53477.xml,"Mustapha, Son of Solyman the Magnificent","Boyle, Roger","Orrery, Roger Boyle, Earl of, 1621-1679."
A25278,A25278.xml,The Siege and Surrender of Mons,Anon.,"Ames, Richard, d. 1693."
A68191,A68191.xml,The Trial of Chivalry,Anon.,
A46278,A46278.xml,Triumphs of London,"Jordan, Thomas","Jordan, Thomas, 1612?-1685?"
A09221,A09221.xml,The Battle of Alcazar,"Peele, George","Peele, George, 1556-1596."
A18404_02,A18404_02.xml,The Tragedy of Charles Duke of Byron,"Chapman, George","Chapman, George, 1559?-1634."
A36984,A36984.xml,"The Intrigues at Versailles, or A Jilt in All Humours","D'Urfey, Thomas","D'Urfey, Thomas, 1653-1723."
A33146,A33146.xml,Xerxes,"Cibber, Colley","Cibber, Colley, 1671-1757."
A31023,A31023.xml,Mirza,"Baron, Robert","Baron, Robert, b. 1630."
A19977,A19977.xml,Law Tricks,"Day, John","Day, John, 1574-1640?"
A36994,A36994.xml,The Marriage Hater Matched,"D'Urfey, Thomas","D'Urfey, Thomas, 1653-1723."
A29644,A29644.xml,The Queen's Exchange,"Brome, Richard","Brome, Richard, d. 1652?"
A30315,A30315.xml,Landgartha,"Burnell, Henry","H. B. (Henry Burnell), fl. 1641."
A35279,A35279.xml,"Darius, King of Persia","Crowne, John","Crown, Mr. (John), 1640?-1712."
A07234,A07234.xml,The Bondman,"Massinger, Philip","Massinger, Philip, 1583-1640."
A19750,A19750.xml,"The Knave in Grain, New Vamped","D., J.","J. D., Gent."
A02827,A02827.xml,Apollo Shroving,"Hawkins, William","Hawkins, William, d. 1637."
A27331,A27331.xml,"The Widow Ranter, or The History of Bacon in Virginia","Behn, Aphra","Behn, Aphra, 1640-1689."
A59189,A59189.xml,"Troades, or The Royal Captives","Seneca, Lucius Annaeus","Seneca, Lucius Annaeus, ca. 4 B.C.-65 A.D."
A63229,A63229.xml,London's Triumphs,"Tatham, John","Tatham, John, fl. 1632-1664."
A03244,A03244.xml,The Rape of Lucrece,"Heywood, Thomas","Heywood, Thomas, d. 1641."
A51516,A51516.xml,Greenwich Park,"Mountfort, William","Mountfort, William, 1664?-1692."
A37724,A37724.xml,"Noah's Flood, or the Destruction of the World","Ecclestone, Edward","Ecclestone, Edward, fl. 1679."
A27279,A27279.xml,"The Amorous Prince, or The Curious Husband","Behn, Aphra","Behn, Aphra, 1640-1689."
A19816_03,A19816_03.xml,Cleopatra,"Daniel, Samuel","Daniel, Samuel, 1562-1619."
A53507,A53507.xml,Alcibiades,"Otway, Thomas","Otway, Thomas, 1652-1685."
A34588,A34588.xml,"Amorous Orontus, or The Love in Fashion","Corneille, Pierre","Corneille, Thomas, 1625-1709."
A10402,A10402.xml,Aristippus or The Jovial Philosopher,"Randolph, Thomas","Randolph, Thomas, 1605-1635."
A49952,A49952.xml,"Nero, Emperor of Rome","Lee, Nathaniel","Lee, Nathaniel, 1653?-1692."
A56872,A56872.xml,"The Queen, or The Excellency of Her Sex","Ford, John","Goughe, Alexander."
A20066,A20066.xml,"If It Be Not Good, the Devil Is in It","Dekker, Thomas","Dekker, Thomas, ca. 1572-1632."
A01057,A01057.xml,'Tis Pity She's a Whore,"Ford, John","Ford, John, 1586-ca. 1640."
A63188,A63188.xml,Londinium Triumphans,"Tatham, John","Tatham, John, fl. 1632-1664."
A12017,A12017.xml,"The most lamentable Romaine tragedie of Titus Andronicus As it was plaide by the right honourable the Earle of Darbie, Earle of Pembrooke, and Earle o",,"Shakespeare, William, 1564-1616."
A12016,A12016.xml,A wittie and pleasant comedie called The taming of the shrew. As it was acted by his Maiesties Seruants at the Blacke Friers and the Globe. Written by,,"Shakespeare, William, 1564-1616."
A20098,A20098.xml,Northward Ho,"Dekker, Thomas;Webster, John","Dekker, Thomas, ca. 1572-1632."
A01056,A01056.xml,Love's Sacrifice,"Ford, John","Ford, John, 1586-ca. 1640."
A04648,A04648.xml,Every Man Out of His Humour,"Jonson, Ben","Jonson, Ben, 1573?-1637."
A34947,A34947.xml,Courtship à la mode,"Crauford, William","Craufurd, David, 1665-1726."
A40793,A40793.xml,The Marriage Night,"Cary, (Henry, Lucius?)","Falkland, Henry Cary, Viscount, 1634-1663."
A49947,A49947.xml,"Theodosius, or The Force of Love","Lee, Nathaniel","Lee, Nathaniel, 1653?-1692."
A16527_04,A16527_04.xml,Caesar,"Alexander, William","Stirling, William Alexander, Earl of, 1567 or 8-1640."
A43729,A43729.xml,"A Fatal Mistake, or The Plot Spoiled","Haynes, Joe","Haines, Joseph, d. 1701."
A27293,A27293.xml,"The feignʻd curtizans, or, A nights intrigue. A comedy· As it is acted at the Dukes Theatre. Written by Mrs. A. Behn. Licensed Mar. 27. 1679",,"Behn, Aphra, 1640-1689."
A27287,A27287.xml,The Dutch Lover,"Behn, Aphra","Behn, Aphra, 1640-1689."
A50796,A50796.xml,The Spanish Gypsy,"Dekker, Thomas;Ford, John;Middleton, Thomas;Rowley, William","Middleton, Thomas, d. 1627."
A16927,A16927.xml,The Sparagus Garden,"Brome, Richard","Brome, Richard, d. 1652?"
A62863,A62863.xml,"Cuckolds Haven, or An Alderman No Conjurer","Tate, Nahum","Tate, Nahum, 1652-1715."
A51517,A51517.xml,"The Injured Lovers, or The Ambitious Father","Mountfort, William","Mountfort, William, 1664?-1692."
A02629,A02629.xml,Sicily and Naples,"Harding, Samuel","S.H. (Samuel Harding), b. 1618."
A48052,A48052.xml,"Sauny the Scot, or The Taming of the Shrew","Lacy, John","Lacy, John, d. 1681."
A07023,A07023.xml,"Dido, Queen of Carthage","Marlowe, Christopher;Nashe, Thomas","Marlowe, Christopher, 1564-1593."
A07976,A07976.xml,The Spring's Glory,"Nabbes, Thomas","Nabbes, Thomas, 1605?-1645?"
A39898,A39898.xml,The Sun's Darling,"Dekker, Thomas;Ford, John","Dekker, Thomas, ca. 1572-1632."
A33351,A33351.xml,"Marciano, or The Discovery","Clerke, William","Clark, William, advocate."
A46255,A46255.xml,London's Resurrection to Joy and Triumph,"Jordan, Thomas","Jordan, Thomas, 1612?-1685?"
A09224,A09224.xml,Edward the First,"Peele, George","Peele, George, 1556-1596."
A35287,A35287.xml,"Juliana, or The Princess of Poland","Crowne, John","Crown, Mr. (John), 1640?-1712."
A19976,A19976.xml,The Isle of Gulls,"Day,  John","Day, John, 1574-1640?"
A36759,A36759.xml,"The Mock Tempest, or The Enchanted Castle","Duffett, Thomas","Duffett, Thomas."
A36983,A36983.xml,"The Injured Princess, or The Fatal Wager","D'Urfey, Thomas","D'Urfey, Thomas, 1653-1723."
A15814,A15814.xml,Two Lamentable Tragedies,"Yarington, Robert","Yarington, Robert, fl. 1601."
A07237,A07237.xml,The Duke of Milan,"Massinger, Philip","Massinger, Philip, 1583-1640."
A12148,A12148.xml,The Opportunity,"Shirley, James","Shirley, James, 1596-1666."
A59411,A59411.xml,Bury Fair,"Shadwell, Thomas","Shadwell, Thomas, 1642?-1692."
A46257,A46257.xml,London's Triumphs,"Jordan, Thomas","Jordan, Thomas, 1612?-1685?"
A09232,A09232.xml,The Old Wives Tale,"Peele, George","Peele, George, 1556-1596."
A07974,A07974.xml,Hannibal and Scipio,"Nabbes, Thomas","Nabbes, Thomas, 1605?-1645?"
A00969,A00969.xml,The Two Noble Kinsmen,"Shakespeare, William","Fletcher, John, 1579-1625."
A30841,A30841.xml,"The Island Queens, or The Death of Mary Queen of Scotland","Banks, John","Banks, John, d. 1706."
A51501,A51501.xml,Love's a Jest,"Motteux, Peter","Motteux, Peter Anthony, 1660-1718."
A53458,A53458.xml,Guzman,"Boyle, Roger","Orrery, Roger Boyle, Earl of, 1621-1679."
A07009,A07009.xml,Dr. Faustus,"Marlowe, Christopher","Marlowe, Christopher, 1564-1593."
A33541,A33541.xml,Fatal Friendship,"Trotter, Catherine","Trotter, Catharine, 1679-1749."
A65075,A65075.xml,"The Relapse, or Virtue in Danger","Vanbrugh, John","Vanbrugh, John, Sir, 1664-1726."
A03496,A03496.xml,"Technogamia, or The Marriages of the Arts","Holiday, Barten","Holyday, Barten, 1593-1661."
A59968,A59968.xml,"Henry III of France, Stabbed by a Friar, with the Fall of the Guise","Shipman, Thomas","Shipman, Thomas, 1632-1680."
A19816_00,A19816_00.xml,Delia,"Daniel, Samuel","Daniel, Samuel, 1562-1619."
A27291,A27291.xml,"The False Count, or A New Way to Play an Old Game","Behn, Aphra","Behn, Aphra, 1640-1689."
A53510,A53510.xml,"The Atheist, or The Second Part of the Soldier's Fortune","Otway, Thomas","Otway, Thomas, 1652-1685."
A28808,A28808.xml,"Marcelia, or The Treacherous Friend","Boothby, Mrs. Frances","Boothby, F. (Frances), fl. 1670."
A62083,A62083.xml,"Tarugo's Wiles, or The Coffee-House","St Serfe, Thomas","St. Serfe, Thomas, Sir, fl. 1668."
A47372_10,A47372_10.xml,Claricilla,"Killigrew, Thomas","Killigrew, Thomas, 1612-1683."
A19182,A19182.xml,The Contention between Liberality and Prodigality,Anon.,
A20065,A20065.xml,2 The Honest Whore,"Dekker, Thomas","Dekker, Thomas, ca. 1572-1632."
A12969,A12969.xml,Gammer Gurton's Needle,"Stevenson, William","Stevenson, William, d. 1575,"
A58121,A58121.xml,"The Wrangling Lovers, or The Invisible Mistress","Ravenscroft, Edward","Ravenscroft, Edward, 1654?-1707."
A53060,A53060.xml,Plays,"Cavendish, Margaret","Newcastle, Margaret Cavendish, Duchess of, 1624?-1674."
A58109,A58109.xml,"The Canterbury Guests, or A Bargain Broken","Ravenscroft, Edward","Ravenscroft, Edward, 1654?-1707."
A12001,A12001.xml,"The tragedy of King Richard the third. Containing, his treacherous plots against his brother Clarence: the pittiefull murther of his iunocent [sic] ne",,"Shakespeare, William, 1564-1616."
A08065,A08065.xml,Nero,Anon.,
A58120,A58120.xml,"Scaramouch a Philosopher, Harlequin a School-boy, Bravo, Merchant, and Magician","Ravenscroft, Edward","Ravenscroft, Edward, 1654?-1707."
A01055,A01055.xml,The Lover's Melancholy,"Ford, John","Ford, John, 1586-ca. 1640."
A19829,A19829.xml,Hymen's Triumph,"Daniel, Samuel","Daniel, Samuel, 1562-1619."
A19183,A19183.xml,How a Man May Choose a Good Wife from a Bad,"Heywood, Thomas","Heywood, Thomas, d. 1641."
A40960,A40960.xml,Love and a Bottle,"Farquhar, George","Farquhar, George, 1677?-1707."
A47372_11,A47372_11.xml,The Prisoners,"Killigrew, Thomas","Killigrew, Thomas, 1612-1683."
A12954,A12954.xml,Cynthia's Revenge,"Stephens, John","Stephens, John, fl. 1613-1615."
A57763,A57763.xml,The Birth of Merlin,"Rowley, William","Rowley, William, 1585?-1642?"
A35680,A35680.xml,Rinaldo and Armida,"Dennis, John","Dennis, John, 1657-1734."
A53511,A53511.xml,"Don Carlos, Prince of Spain","Otway, Thomas","Otway, Thomas, 1652-1685."
A14869,A14869.xml,The Devil's Law Case,"Webster, John","Webster, John, 1580?-1625?"
A06289,A06289.xml,The Maid's Tragedy,"Beaumont, Francis;Fletcher, John","Beaumont, Francis, 1584-1616."
A27247,A27247.xml,"The Excommunicated Prince, or The False Relique","Bedloe, William (?) or Walter, Thomas (?)","Bedloe, William, 1650-1680."
A16924,A16924.xml,The Northern Lass,"Brome, Richard","Brome, Richard, d. 1652?"
A13848,A13848.xml,Tempe Restored,"Townshend, Aurelian","Townshend, Aurelian, fl. 1601-1643."
A33540,A33540.xml,Agnes de Castro,"Trotter, Catherine","Trotter, Catharine, 1679-1749."
